"","rho.runtime","rho.title_length","rho.log_budget_final","rho.actor_logrev_of_past_2_years_0","rho.actor_logrev_of_past_2_years_1","rho.actor_logrev_of_past_2_years_2","rho.actor_logrev_of_past_2_years_3","rho.actor_logrev_of_past_2_years_4","rho.actor_logrev_of_past_5_years_0","rho.actor_logrev_of_past_5_years_1","rho.actor_logrev_of_past_5_years_2","rho.actor_logrev_of_past_5_years_3","rho.actor_logrev_of_past_5_years_4","rho.actor_logrev_of_past_10_years_0","rho.actor_logrev_of_past_10_years_1","rho.actor_logrev_of_past_10_years_2","rho.actor_logrev_of_past_10_years_3","rho.actor_logrev_of_past_10_years_4","rho.director_logrev_of_past_2_years_0","rho.director_logrev_of_past_5_years_0","rho.director_logrev_of_past_10_years_0","rho.gender_score","rho.has_oscar_winner","rho.popular_genre","rho.first_in_collection","rho.sequel","rho.major","rho.minor","rho.medium","rho.Action","rho.Adventure","rho.Animation","rho.Comedy","rho.Crime","rho.Documentary","rho.Drama","rho.Family","rho.Fantasy","rho.Foreign","rho.History","rho.Horror","rho.Music","rho.Mystery","rho.Romance","rho.Science.Fiction","rho.TV.Movie","rho.Thriller","rho.War","rho.Western","rho.actor_is_top_100_of_past_2_years_0","rho.actor_is_top_100_of_past_2_years_1","rho.actor_is_top_100_of_past_2_years_2","rho.actor_is_top_100_of_past_2_years_3","rho.actor_is_top_100_of_past_2_years_4","rho.actor_is_top_100_of_past_5_years_0","rho.actor_is_top_100_of_past_5_years_1","rho.actor_is_top_100_of_past_5_years_2","rho.actor_is_top_100_of_past_5_years_3","rho.actor_is_top_100_of_past_5_years_4","rho.actor_is_top_100_of_past_10_years_0","rho.actor_is_top_100_of_past_10_years_1","rho.actor_is_top_100_of_past_10_years_2","rho.actor_is_top_100_of_past_10_years_3","rho.actor_is_top_100_of_past_10_years_4","rho.director_is_top_50_of_past_2_years_0","rho.director_is_top_50_of_past_5_years_0","rho.director_is_top_50_of_past_10_years_0"
"runtime",1,-0.0801478739687024,0.336595262763934,0.210890383471734,0.175052238101437,0.145309799887288,0.117518225782306,0.114167518845961,0.200129493810521,0.176575675778663,0.162430653775152,0.164743678991865,0.147887297367663,0.187383536508617,0.156092298226735,0.132682832293626,0.161908153054651,0.145923149799169,0.11697794983648,0.133555216311004,0.135989578829546,-0.00459753571518395,0.390809356244306,0.345800402549263,-0.114082015960964,-0.0134571161856276,0.05898331264099,-0.0892796925304807,0.100567543121456,0.113361970221063,0.128602203596616,-0.499048541579689,-0.332426205965927,0.0984898891290527,-0.292921392931338,0.36833039005226,-0.304800724972902,-0.0267955999267754,-0.212474793177084,0.709702682605952,-0.242440165866378,-0.000296666926396499,0.107343142589108,0.0442552320632142,-0.0321580543523184,-0.247405027804042,0.0790289169850549,0.482233138743635,0.301954390697729,0.217586285437085,0.188774826989356,0.20094452144033,0.186179848266939,0.168398078028407,0.239615152856537,0.231885286824498,0.227209714055518,0.208619592125817,0.105811623812745,0.261234740965364,0.233076958254311,0.167929954101198,0.133465041734272,0.0986060737496762,0.257327912459667,0.349030872201137,0.370962805175807
"title_length",-0.0801478739687024,1,0.0036646651505353,-0.00910572732075224,-0.0346669356270967,-0.0261740693711043,-0.00730343130552311,0.0155682487864713,-0.00095667662735399,-0.0158598962374129,-0.0146592515756936,0.00707959312818284,0.0304060144064342,-0.000250412943201642,-0.00852343665967681,-0.0128197166516868,-0.00479246912404168,0.0187203738607924,-0.00187578902927872,0.00890417324124652,0.0135369586520394,-0.00462790848081127,-0.0738412006696378,-0.209543372346918,-0.00864507798157744,0.66010171204773,0.077037293955772,-0.0546202895598684,-0.0423683243957344,-0.00114945902281362,0.201230776400706,0.148187086122392,0.112571955978036,-0.0816742215504968,0.176598414588526,-0.207869217527775,0.195980918372331,0.101264994189968,-0.137880113288964,-0.082341690208604,-0.0218872646016958,0.027741121137788,-0.116373316369395,-0.0429155639252963,0.0554238793215831,-0.246351354411983,-0.15424853520451,-0.022897237031378,-0.0188060029388087,-0.0352328318520417,-0.0878800142133974,-0.0411144985679506,-0.037299605826662,0.0635577126874504,-0.048120618496239,-0.0852598035917828,-0.0513744136386339,-0.0327496852113666,0.0349316917143627,-0.0640913857827533,-0.077058639364958,-0.0621973996590182,-0.0388161931028081,0.105391951976006,-0.0187066535372353,-0.00988813884265119,-0.0159262295554601
"log_budget_final",0.336595262763934,0.0036646651505353,1,0.354874030507808,0.290429052495323,0.211724645556801,0.193731903980318,0.166645172769855,0.378491104409682,0.32700425210461,0.260169515111148,0.272280838674445,0.230044359485171,0.366994872618649,0.313223817602533,0.241016012838059,0.264083035535556,0.257807436650013,0.213192246049203,0.296452768894735,0.319330809615773,0.00276360885399463,0.260887278036651,-0.102370328659467,-0.00318454192124136,0.211536795714221,0.335607880141062,-0.280826615517464,0.116554675082763,0.295457223836186,0.400187804137049,0.305193304606634,-0.0226983997895522,0.0348385011122997,-0.48371700714804,-0.128708515008716,0.265228659400175,0.266654528094261,-0.404737667012281,0.158086663199997,-0.288007343478996,-0.0243756889956171,0.0588963087603788,-0.0589942846256606,0.152755082943377,-0.272881024757822,0.0690243367871755,0.16743172196486,0.127165685434321,0.329909490343853,0.285780689383426,0.297799279615369,0.193855858887838,0.225460431248173,0.403998935132328,0.31327152384852,0.279383969086476,0.218909187699277,0.197460147094739,0.419372940462757,0.337087133447482,0.251584090715698,0.197759360476182,0.221263392310157,0.266018710439131,0.352658785567896,0.3581704082164
"actor_logrev_of_past_2_years_0",0.210890383471734,-0.00910572732075224,0.354874030507808,1,0.294562120464931,0.211220479521177,0.203405794143392,0.144963610824434,0.731992527582754,0.282636036014567,0.220763592895159,0.226876638484065,0.140942278061186,0.650331731601863,0.277757974852026,0.213568933167964,0.220672488444394,0.174309251059125,0.13860902196329,0.155424507791424,0.167276252288482,0.00528153274580676,0.209202562501242,0.0796231299345053,-0.0785604096386388,0.0601374011824008,0.134144171075149,-0.155307469115343,0.0925376331180566,0.103943920946938,0.100299984786443,-0.104273376336033,0.0250469995211319,0.119432608848228,-0.505965135923114,0.0516756414907523,-0.0465707186805019,0.0112026854219068,-0.320172453896737,0.0919459141576865,-0.153656102007643,-0.0424468057089847,0.0468307996636,0.053571502159177,0.0129777241747124,-0.255383780048818,0.0708698375499101,0.0338275524420106,0.161404832615907,0.438646624077411,0.180357909798822,0.132859068353701,0.174172657918717,0.138340693475932,0.498815696201074,0.217426447783514,0.129976038265057,0.138190734394996,0.0715114274243028,0.461957580226292,0.215973969798846,0.0994176355319384,0.0814368743619212,0.0897414631095059,0.177647562613267,0.155121214882051,0.159638705518111
"actor_logrev_of_past_2_years_1",0.175052238101437,-0.0346669356270967,0.290429052495323,0.294562120464931,1,0.276065415373271,0.239842425265958,0.21617112482374,0.289813953137874,0.721545624948762,0.267118176703608,0.237158024817349,0.182330782614462,0.275900942445329,0.636784737056331,0.244172453270283,0.240576727642034,0.1891744474646,0.122141760956258,0.145773791492751,0.131253673887667,0.0093351144224996,0.227501708188109,0.0261940761033285,-0.0558943257285783,0.0515420585968534,0.0935460509730271,-0.135736879569369,0.0932664401279171,0.0792362464785413,0.149606557200518,0.00486369715381167,0.0418116125583617,0.066684879739479,-0.393952388959839,0.00019687267387727,-0.0232246841275566,0.0544615179093838,-0.30994272236648,0.0230944187984832,-0.138472663235085,-0.0440001733948683,0.0394306324975671,0.038995069625814,-0.020845439436078,-0.407296114515598,0.0575362008382714,0.0140186994040109,0.127974147391406,0.219585097279093,0.573934981017102,0.176182854345052,0.171192664839553,0.186649704563936,0.271234863449897,0.56174088384944,0.248200468106726,0.183346627534913,0.15171853871978,0.264833798179602,0.486217762149974,0.207694084915758,0.125700015486375,0.104348027753738,0.15203518591624,0.196042783259951,0.144436850930578
"actor_logrev_of_past_2_years_2",0.145309799887288,-0.0261740693711043,0.211724645556801,0.211220479521177,0.276065415373271,1,0.285159777184014,0.289887467636571,0.198043179173646,0.240537445572804,0.683320802019475,0.219727450576458,0.205054083173061,0.18954046136765,0.231004813458622,0.613649721635847,0.218141274683509,0.232196966215574,0.103933123543571,0.0945733092087557,0.0987045190751226,0.010394322818154,0.195073585827627,0.0206775651043779,-0.0502217106145277,0.0887952551810875,0.0850139283017523,-0.0971027721176082,0.0670365880703268,0.0769794108365337,0.111653091732313,-0.0170735130684676,-0.000106671365611553,0.0748847783780639,-0.319835598547717,0.00725060083932262,0.00414120207242044,0.090230148443506,-0.249389561694941,0.0233137939382847,-0.113536089428776,-0.049745202747589,0.0986002303135105,-0.00459726297548479,0.0311221595238294,-0.0857329942670369,0.0604454896464881,-0.00888948451603492,0.0851932593817818,0.189987398225971,0.172351583679757,0.575437099843414,0.180023477230256,0.122325708221167,0.181960860294694,0.167211447742334,0.554033060665026,0.173987448700803,0.197056763207428,0.193056821599632,0.182114505277263,0.499898436856461,0.168156557310524,0.229899141549522,0.145475222501696,0.115302780107611,0.138180912313089
"actor_logrev_of_past_2_years_3",0.117518225782306,-0.00730343130552311,0.193731903980318,0.203405794143392,0.239842425265958,0.285159777184014,1,0.40351475957292,0.156108904301431,0.161295878027073,0.1918729659317,0.653095542259554,0.25852807818519,0.146852286164182,0.14915193791711,0.187728375312079,0.566821080805049,0.246789207120634,0.0829381285654538,0.106349622902794,0.0955562911115254,0.00646476509911018,0.170549571278794,-0.00989957849789544,-0.0123779777091748,0.0450569496575486,0.0859349034710861,-0.105914260695356,0.0628913030498457,0.0390150160921918,0.113452658083943,0.0755099600502691,0.0476270897528673,0.0171813988843908,-0.267256754303177,-0.0234881733823821,0.0840506182177293,0.0609758216774005,-0.202720071637975,0.0330739415938339,-0.154863304702111,-0.0569692559370322,-0.0132608500143555,0.0263998347616295,0.0280060889195838,-0.0397425637192018,-0.00803564493576387,-0.0641697147871488,0.0102970001496502,0.160447502526779,0.145119039716446,0.185693119032055,0.585604433779098,0.148204893805366,0.174605372705995,0.141722980476742,0.174893642897901,0.644237837058207,0.239154988248173,0.161808167120317,0.126344739535202,0.209688512351416,0.541321583991797,0.220293960347206,0.144479968184841,0.15500434484836,0.140983779029341
"actor_logrev_of_past_2_years_4",0.114167518845961,0.0155682487864713,0.166645172769855,0.144963610824434,0.21617112482374,0.289887467636571,0.40351475957292,1,0.128648413966204,0.135294524906016,0.150870015127741,0.247625320737861,0.648404179436543,0.11774376768389,0.121290522214665,0.127217880138327,0.2170656045741,0.551729612399191,0.0980077863158195,0.0945701081265708,0.0920982092211935,0.00146383190491916,0.176806525452429,0.0095493141961019,-0.00485499396406879,0.0506454032363995,0.0748830787371137,-0.111703625510338,0.0716466441788222,0.0725826839422576,0.133574188437744,0.072998098125852,0.0430690727637012,0.0183255738414944,-0.248254603949744,0.00598947688615397,0.0644082299612518,0.0573753252443418,-0.182925005122352,0.103155874353448,-0.111595880909142,-0.0168166651624099,0.007267450424599,-0.0215635892423391,0.0564262065853943,-0.0137182117543721,0.0221094361670389,0.0367657576649848,-0.034836512618702,0.0946655515939707,0.140561404871673,0.130154974752966,0.136665590384218,0.667481729056891,0.104561695486405,0.166080018276957,0.130376304844188,0.13104624645075,0.604986752506942,0.0960716844073672,0.131964945059364,0.105660492071369,0.182418767591542,0.555557685263893,0.089614122982501,0.1238199543208,0.122157169888843
"actor_logrev_of_past_5_years_0",0.200129493810521,-0.00095667662735399,0.378491104409682,0.731992527582754,0.289813953137874,0.198043179173646,0.156108904301431,0.128648413966204,1,0.299208750528504,0.246105689429793,0.213455815087936,0.164849366368868,0.87191691342365,0.309119224672435,0.229852490112868,0.225709722035293,0.190401912653137,0.137141420686788,0.175996298942962,0.196879021453385,0.012700529532026,0.254693916781625,0.0928035737721797,-0.108820277284358,0.11196665067676,0.147875387991101,-0.167328408565935,0.0995446814202395,0.0842594052405998,0.0766651692201568,-0.0707143789344383,0.0433278560111652,0.12239530642132,-0.625356571005258,0.0668663935986615,-0.0445354388922843,-0.00445204293243462,-0.492468995322969,0.125460414848866,-0.134896940552455,-0.0647462823385259,0.0558686537180902,0.051378446828745,0.0101341527179157,-0.374770050351801,0.108965373618011,0.087276563830644,0.15437293265967,0.337007966859292,0.218668573824778,0.132694740539767,0.163197417985274,0.133149861911917,0.400797757032989,0.238133467325762,0.156496151720612,0.139204014507722,0.0981198573596968,0.413613118696043,0.243256047813095,0.138150825039062,0.0821630158042063,0.0874294365844321,0.121660304503797,0.166377420803075,0.166090292831146
"actor_logrev_of_past_5_years_1",0.176575675778663,-0.0158598962374129,0.32700425210461,0.282636036014567,0.721545624948762,0.240537445572804,0.161295878027073,0.135294524906016,0.299208750528504,1,0.292887587840031,0.226690841190288,0.168555932622738,0.293662438487878,0.867367571229677,0.2828587400196,0.23353432761195,0.180748408858584,0.109070987794437,0.13334452343022,0.122114296086239,0.00904206131234562,0.26400397045896,0.0440114060730073,-0.034713534878303,0.12583606928252,0.125937599401874,-0.15249482776994,0.0939724591286037,0.0940614659861356,0.153103615033502,0.0497839240800592,0.0453362601518285,0.0841416361631594,-0.496801658636588,0.0081289928343077,0.0026151934675081,0.0818314466860499,-0.4029695727177,-0.0108300687321294,-0.108058059567929,-0.0957679918485828,0.0659344248475916,0.01748594137976,-0.000826802226933805,0.0347059761080314,0.0529782273824359,0.0241268894654577,0.104807919114096,0.180056734025334,0.423677499560025,0.168790998826676,0.129750062072362,0.135726618964353,0.223915269562712,0.438882186138746,0.20263026607932,0.126876607714526,0.10769258607938,0.225084031912533,0.417790967546188,0.165529942258861,0.0944793893682652,0.0622776179278628,0.0995319446816465,0.143583538531348,0.137662720493959
"actor_logrev_of_past_5_years_2",0.162430653775152,-0.0146592515756936,0.260169515111148,0.220763592895159,0.267118176703608,0.683320802019475,0.1918729659317,0.150870015127741,0.246105689429793,0.292887587840031,1,0.272844221988221,0.218862283072463,0.23940328441294,0.28601053773603,0.865192866269161,0.271425270650953,0.236540356224096,0.0881335099635547,0.110796259283209,0.126877346493055,0.0119488556286934,0.227702443353856,0.0450892167200833,-0.0573237634938462,0.150278626238624,0.115561950502094,-0.113797037988489,0.0675585400183908,0.0844031983183114,0.138300268522007,0.0280508263714698,0.00136739940996901,0.102526671621049,-0.45989240734378,0.0285470144744657,0.00168622749262482,0.0720988828227575,-0.434548974958445,0.0546242084634404,-0.0900747918488321,-0.0792641741911358,0.0877651087426442,-0.0118720302125022,0.00888508517713791,-0.197609273035846,0.0619401588819606,0.0175585315227876,0.110777579797893,0.173853525366261,0.180269062665768,0.445324142898082,0.142290831993252,0.109204281912312,0.177039793826258,0.205279131782275,0.462693519986276,0.151719936399544,0.127060509740544,0.184534126738121,0.218359260103554,0.442071869289555,0.16916003112398,0.143373622974187,0.0958368142484124,0.120838347382636,0.132213570736191
"actor_logrev_of_past_5_years_3",0.164743678991865,0.00707959312818284,0.272280838674445,0.226876638484065,0.237158024817349,0.219727450576458,0.653095542259554,0.247625320737861,0.213455815087936,0.226690841190288,0.272844221988221,1,0.302399682240175,0.209356493323752,0.210625255476284,0.262160944300873,0.842973743767358,0.275579533865559,0.0922593929867857,0.125792290546649,0.114903578716721,0.00913795313220416,0.213157166449549,0.00336555184494548,-0.0428506024192309,0.111862828148735,0.111486412415172,-0.117470781227077,0.0676233497345371,0.0554063160626979,0.103846650739478,0.0970126700617398,0.0475359006482057,0.0377534995928576,-0.347376241219265,-0.00400666243454803,0.0772746813905833,0.0668818556947569,-0.339943106766232,0.0271247851136234,-0.194552865207402,-0.0749150611470998,0.0105462449614931,0.0245403147696394,0.0249401474080991,-0.117494569448649,0.00575888771573399,-0.0472805145397958,0.0269859647791972,0.210108521992607,0.215566476042809,0.257455928816986,0.466650276297002,0.2201250161877,0.243316160925993,0.245127501628773,0.261333478218193,0.534629792179711,0.29540262088014,0.247671506979993,0.21537038925403,0.258006729263733,0.502880853608348,0.291557645577253,0.13996863191398,0.182169956967017,0.195278142345621
"actor_logrev_of_past_5_years_4",0.147887297367663,0.0304060144064342,0.230044359485171,0.140942278061186,0.182330782614462,0.205054083173061,0.25852807818519,0.648404179436543,0.164849366368868,0.168555932622738,0.218862283072463,0.302399682240175,1,0.155670388115745,0.148715398652559,0.179805443619919,0.249037001693339,0.788839063385409,0.0996689201481748,0.104805454253264,0.109631427427537,0.000240273435849805,0.181247525071938,0.0378619792005185,-0.0104055962693308,0.0660943171926668,0.11319612935662,-0.12459403152802,0.0633276474709721,0.0957111666343651,0.141854906209484,0.120807645757691,0.0432553431624645,0.0648061105719782,-0.30707932679964,0.0226451980464117,0.0963109463428461,0.0550637048425081,-0.312324120809001,0.0799330282254367,-0.148058003974738,-0.0608117085458452,0.00385648089116526,-0.0284544725508652,0.0499364492203533,-0.0837610882074181,0.0520419357378432,0.0342583376419615,-0.0570558187733554,0.123803375244456,0.184272407813128,0.145771204136696,0.161621544472914,0.58791539404494,0.16643943350947,0.184861897288125,0.169787739690307,0.192925970427576,0.573180359173913,0.153348206236302,0.157126711489624,0.153515166699775,0.217778792631797,0.563352746220541,0.111638551185074,0.174695645172704,0.134672387341571
"actor_logrev_of_past_10_years_0",0.187383536508617,-0.000250412943201642,0.366994872618649,0.650331731601863,0.275900942445329,0.18954046136765,0.146852286164182,0.11774376768389,0.87191691342365,0.293662438487878,0.23940328441294,0.209356493323752,0.155670388115745,1,0.317508970002089,0.229668660031526,0.229353097500005,0.195337672993789,0.126721021717721,0.168358466727576,0.197766277391092,0.0120151813396113,0.246057084062938,0.0831549098777355,-0.103716754253449,0.146031411177872,0.152874085268188,-0.167850485077287,0.0967222810440559,0.0990460614264438,0.0853310018676081,-0.0608323292312709,0.0448134912130566,0.126963669612843,-0.642425799537081,0.0463466365759029,-0.0252098392657979,0.0189080085101175,-0.5387569848859,0.113704174825496,-0.109439458167306,-0.0658401959957437,0.0854132846634896,0.0133979461570662,0.038032443220592,-0.532777516369551,0.109174859915632,0.0717844503181836,0.133268143336683,0.306265010423766,0.210264869869614,0.136326468815084,0.153955507095043,0.116678653206264,0.374867454726093,0.212805827365956,0.149816117839142,0.13009320139189,0.0911516698731506,0.390195989150699,0.224608442456948,0.138584328378627,0.0969394342668141,0.0711087363117767,0.104840399613378,0.173292332554618,0.171427632667128
"actor_logrev_of_past_10_years_1",0.156092298226735,-0.00852343665967681,0.313223817602533,0.277757974852026,0.636784737056331,0.231004813458622,0.14915193791711,0.121290522214665,0.309119224672435,0.867367571229677,0.28601053773603,0.210625255476284,0.148715398652559,0.317508970002089,1,0.288365243372998,0.235884842410735,0.191048813101738,0.0949693313828144,0.137117892343052,0.130837519572542,0.00746214570511534,0.2580841029779,0.0310741965270381,-0.0370768639596992,0.143515205914875,0.115977126088364,-0.147979388604478,0.092580345847389,0.109193018366009,0.148839697476194,0.0555173468159678,0.0532632951441523,0.0881820532271021,-0.511397209275417,-0.000227063023148633,0.00498967120672419,0.0917020368221788,-0.445748438642796,-0.0192716601381572,-0.0958025867343962,-0.140048069123238,0.0562925635654726,-0.00685914395204124,0.0207778538832676,-0.0938286119965958,0.0491521243202299,-0.000379761775405673,0.112517633980005,0.181726875385384,0.385491109646961,0.143852455639938,0.0983220757884681,0.143617092393603,0.222076326100166,0.405241289334034,0.177294023452218,0.103949282905625,0.114404861783457,0.221716320998839,0.388845669523429,0.153499965066992,0.0975130772544595,0.0478208588173137,0.083651456598313,0.128050019914681,0.14014274932312
